Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2022-10-13,Smile,2022,https://boxd.it/3jKofr,3,,,2022-10-12
2023-01-31,Mare of Easttown,2021,https://boxd.it/3MXa89,4,Yes,,2023-01-30
2023-02-12,Conan the Barbarian,1982,https://boxd.it/3QlZHJ,2.5,Yes,,2023-02-10
2023-05-04,Guardians of the Galaxy Vol. 3,2023,https://boxd.it/4cCuxF,3.5,,,2023-05-04
2023-07-27,Barbie,2023,https://boxd.it/4AJw4F,3,,,2023-07-27
2024-02-14,The Last of the Mohicans,1992,https://boxd.it/5Pz8H7,5,,,2024-02-14
2025-05-18,Elite Squad,2007,https://boxd.it/9JeQ3L,4,,,2025-05-18
2025-05-18,Elite Squad,2007,https://boxd.it/9JeQ3V,4,,,2025-05-18
2025-10-21,V/H/S/Halloween,2025,https://boxd.it/bqYQSV,2.5,,,2025-10-20
